|++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++|
|                               Flv Tag Info                                         |
|++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++|
|TagNum    |TagType   |TagSize    |TimeStamp   |timeStampExt |TimeStampSub |StreamID |
|         1|        18|        346|           0|            0|            0|        0|
|         2|         9|         34|     3313850|            0|      3313850|        0|
|         3|         8|          4|     3313850|            0|      3313850|        0|
|         4|         9|      16864|     3313850|            0|            0|        0|
|         5|         8|        176|     3313935|            0|           85|        0|
|         6|         8|        169|     3313956|            0|           21|        0|
|         7|         9|       3313|     3313890|            0|           40|        0|
|         8|         8|        177|     3313977|            0|           21|        0|
|         9|         8|        175|     3313999|            0|           22|        0|
|        10|         9|       4046|     3313930|            0|           40|        0|
|        11|         8|        192|     3314020|            0|           21|        0|
|        12|         8|        180|     3314041|            0|           21|        0|
|        13|         9|       4599|     3313970|            0|           40|        0|
|        14|         8|        175|     3314063|            0|           22|        0|
|        15|         9|       4405|     3314010|            0|           40|        0|
|        16|         8|        170|     3314084|            0|           21|        0|
|        17|         8|        167|     3314105|            0|           21|        0|
|        18|         9|       4735|     3314050|            0|           40|        0|
|        19|         8|        164|     3314127|            0|           22|        0|
|        20|         8|        161|     3314148|            0|           21|        0|
|        21|         9|       5190|     3314090|            0|           40|        0|
|        22|         8|        162|     3314169|            0|           21|        0|
|        23|         8|        168|     3314191|            0|           22|        0|
|        24|         9|       5025|     3314130|            0|           40|        0|
|        25|         8|        169|     3314212|            0|           21|        0|
|        26|         8|        162|     3314233|            0|           21|        0|
|        27|         9|       5187|     3314170|            0|           40|        0|
|        28|         8|        165|     3314255|            0|           22|        0|
|        29|         8|        168|     3314276|            0|           21|        0|
|        30|         9|       5399|     3314210|            0|           40|        0|
|        31|         8|        167|     3314297|            0|           21|        0|
|        32|         8|        164|     3314319|            0|           22|        0|
|        33|         9|       5290|     3314250|            0|           40|        0|
|        34|         8|        168|     3314340|            0|           21|        0|
|        35|         8|        164|     3314361|            0|           21|        0|
|        36|         9|       5880|     3314290|            0|           40|        0|
|        37|         8|        161|     3314383|            0|           22|        0|
|        38|         8|        164|     3314404|            0|           21|        0|
|        39|         9|       5025|     3314330|            0|           40|        0|
|        40|         8|        166|     3314425|            0|           21|        0|
|        41|         9|       4821|     3314370|            0|           40|        0|
|        42|         8|        167|     3314447|            0|           22|        0|
|        43|         8|        169|     3314468|            0|           21|        0|
|        44|         9|       4950|     3314410|            0|           40|        0|
|        45|         8|        178|     3314489|            0|           21|        0|
|        46|         8|        167|     3314511|            0|           22|        0|
|        47|         9|       5284|     3314450|            0|           40|        0|
|        48|         8|        169|     3314532|            0|           21|        0|
|        49|         8|        167|     3314553|            0|           21|        0|
|        50|         9|       4897|     3314490|            0|           40|        0|
|        51|         8|        166|     3314575|            0|           22|        0|
|        52|         8|        169|     3314596|            0|           21|        0|
|        53|         9|       4775|     3314530|            0|           40|        0|
|        54|         8|        201|     3314617|            0|           21|        0|
|        55|         8|        183|     3314639|            0|           22|        0|
|        56|         9|       5291|     3314570|            0|           40|        0|
|        57|         8|        219|     3314660|            0|           21|        0|
|        58|         8|        170|     3314681|            0|           21|        0|
|        59|         9|       5068|     3314610|            0|           40|        0|
|        60|         8|        174|     3314703|            0|           22|        0|
|        61|         8|        207|     3314724|            0|           21|        0|
|        62|         9|       5500|     3314650|            0|           40|        0|
|        63|         8|        266|     3314745|            0|           21|        0|
|        64|         8|        165|     3314767|            0|           22|        0|
|        65|         9|       5474|     3314690|            0|           40|        0|
|        66|         8|        172|     3314788|            0|           21|        0|
|        67|         9|       5108|     3314730|            0|           40|        0|
|        68|         8|        177|     3314809|            0|           21|        0|
|        69|         8|        292|     3314831|            0|           22|        0|
|        70|         9|       5524|     3314770|            0|           40|        0|
|        71|         8|        202|     3314852|            0|           21|        0|
|        72|         8|        196|     3314873|            0|           21|        0|
|        73|         9|       5861|     3314810|            0|           40|        0|
|        74|         8|        192|     3314895|            0|           22|        0|
|        75|         8|        195|     3314916|            0|           21|        0|
|        76|         9|       7171|     3314850|            0|           40|        0|
|        77|         8|        205|     3314937|            0|           21|        0|
|        78|         8|        211|     3314959|            0|           22|        0|
|        79|         9|       7175|     3314890|            0|           40|        0|
|        80|         8|        211|     3314980|            0|           21|        0|
|        81|         8|        206|     3315001|            0|           21|        0|
|        82|         9|       5568|     3314930|            0|           40|        0|
|        83|         8|        201|     3315023|            0|           22|        0|
|        84|         8|        189|     3315044|            0|           21|        0|
|        85|         9|       5273|     3314970|            0|           40|        0|
|        86|         8|        197|     3315065|            0|           21|        0|
|        87|         9|       6015|     3315010|            0|           40|        0|
|        88|         8|        184|     3315087|            0|           22|        0|
|        89|         8|        191|     3315108|            0|           21|        0|
|        90|         9|       5188|     3315050|            0|           40|        0|
|        91|         8|        178|     3315129|            0|           21|        0|
|        92|         8|        181|     3315151|            0|           22|        0|
|        93|         9|       4774|     3315090|            0|           40|        0|
|        94|         8|        170|     3315172|            0|           21|        0|
|        95|         8|        165|     3315193|            0|           21|        0|
|        96|         9|       4587|     3315130|            0|           40|        0|
|        97|         8|        160|     3315215|            0|           22|        0|
|        98|         8|        161|     3315236|            0|           21|        0|
|        99|         9|       4665|     3315170|            0|           40|        0|
|       100|         8|        180|     3315257|            0|           21|        0|
|       101|         8|        164|     3315279|            0|           22|        0|
|       102|         9|       4071|     3315210|            0|           40|        0|
|       103|         8|        188|     3315300|            0|           21|        0|
|       104|         8|        249|     3315321|            0|           21|        0|
|       105|         9|       4497|     3315250|            0|           40|        0|
|       106|         8|        175|     3315342|            0|           21|        0|
|       107|         8|        177|     3315364|            0|           22|        0|
|       108|         9|       4632|     3315290|            0|           40|        0|
|       109|         8|        180|     3315385|            0|           21|        0|
|       110|         9|       4412|     3315330|            0|           40|        0|
|       111|         8|        177|     3315407|            0|           22|        0|
|       112|         8|        174|     3315428|            0|           21|        0|
|       113|         9|       5148|     3315370|            0|           40|        0|
|       114|         8|        184|     3315449|            0|           21|        0|
|       115|         8|        193|     3315471|            0|           22|        0|
|       116|         9|       5890|     3315410|            0|           40|        0|
|       117|         8|        180|     3315492|            0|           21|        0|
|       118|         8|        176|     3315513|            0|           21|        0|
|       119|         9|       5945|     3315450|            0|           40|        0|
|       120|         8|        243|     3315534|            0|           21|        0|
|       121|         8|        248|     3315556|            0|           22|        0|
|       122|         9|       5432|     3315490|            0|           40|        0|
|       123|         8|        200|     3315577|            0|           21|        0|
|       124|         8|        187|     3315599|            0|           22|        0|
|       125|         9|       5593|     3315530|            0|           40|        0|
|       126|         8|        191|     3315620|            0|           21|        0|
|       127|         8|        172|     3315641|            0|           21|        0|
|       128|         9|       4925|     3315570|            0|           40|        0|
|       129|         8|        207|     3315663|            0|           22|        0|
|       130|         8|        173|     3315684|            0|           21|        0|
|       131|         9|       4980|     3315610|            0|           40|        0|
|       132|         8|        172|     3315705|            0|           21|        0|
|       133|         9|       4761|     3315650|            0|           40|        0|
|       134|         8|        176|     3315726|            0|           21|        0|
|       135|         8|        173|     3315748|            0|           22|        0|
|       136|         9|       4469|     3315690|            0|           40|        0|
|       137|         8|        176|     3315769|            0|           21|        0|
|       138|         8|        178|     3315791|            0|           22|        0|
|       139|         9|       4988|     3315730|            0|           40|        0|
|       140|         8|        170|     3315812|            0|           21|        0|
|       141|         8|        172|     3315833|            0|           21|        0|
|       142|         9|       4889|     3315770|            0|           40|        0|
|       143|         8|        171|     3315855|            0|           22|        0|
|       144|         8|        171|     3315876|            0|           21|        0|
|       145|         9|       4206|     3315810|            0|           40|        0|
|       146|         8|        171|     3315897|            0|           21|        0|
|       147|         9|       4019|     3315850|            0|           40|        0|
|       148|         8|        178|     3315918|            0|           21|        0|
|       149|         8|        173|     3315940|            0|           22|        0|
|       150|         8|        164|     3315961|            0|           21|        0|
|       151|         9|       5317|     3315890|            0|           40|        0|
|       152|         8|        165|     3315983|            0|           22|        0|
|       153|         9|       4955|     3315930|            0|           40|        0|
|       154|         8|        167|     3316004|            0|           21|        0|
|       155|         8|        175|     3316025|            0|           21|        0|
|       156|         9|       5058|     3315970|            0|           40|        0|
|       157|         8|        171|     3316047|            0|           22|        0|
|       158|         8|        172|     3316068|            0|           21|        0|
|       159|         9|       5208|     3316010|            0|           40|        0|
|       160|         8|        153|     3316089|            0|           21|        0|
|       161|         8|        171|     3316110|            0|           21|        0|
|       162|         9|       5115|     3316050|            0|           40|        0|
|       163|         8|        171|     3316132|            0|           22|        0|
|       164|         8|        172|     3316153|            0|           21|        0|
|       165|         9|       5508|     3316090|            0|           40|        0|
|       166|         8|        163|     3316175|            0|           22|        0|
|       167|         8|        170|     3316196|            0|           21|        0|
|       168|         9|       6125|     3316130|            0|           40|        0|
|       169|         8|        172|     3316217|            0|           21|        0|
|       170|         8|        174|     3316239|            0|           22|        0|
|       171|         9|       5226|     3316170|            0|           40|        0|
|       172|         8|        171|     3316260|            0|           21|        0|
|       173|         8|        170|     3316281|            0|           21|        0|
|       174|         9|       5762|     3316210|            0|           40|        0|
|       175|         8|        167|     3316302|            0|           21|        0|
|       176|         9|      14936|     3316250|            0|           40|        0|
|       177|         8|        168|     3316324|            0|           22|        0|
|       178|         8|        172|     3316345|            0|           21|        0|
|       179|         9|       4265|     3316290|            0|           40|        0|
|       180|         8|        174|     3316367|            0|           22|        0|
|       181|         8|        179|     3316388|            0|           21|        0|
